,link_to_restaurant,restaurant_name,category,review_count
123,https://www.yelp.fr/biz/la-haute-cloche-paris,La Haute Cloche,Bistrot,5
124,https://www.yelp.fr/biz/le-bistrot-de-mauna-loa-paris,Le Bistrot de Mauna Loa,Bistrot,1
125,https://www.yelp.fr/biz/racines-des-pr%C3%A9s-paris-2,Racines des Prés,Bistrot,6
126,https://www.yelp.fr/biz/mineirinho-bar-paris,Mineirinho Bar,Brésilien,1
127,https://www.yelp.fr/biz/porta-da-selva-paris-3,Porta da Selva,Brésilien,1
128,https://www.yelp.fr/biz/glozaria-paris,Glozaria,Brésilien,1
129,https://www.yelp.fr/biz/p%C3%A2tisserie-emma-duv%C3%A9r%C3%A9-paris-4,Pâtisserie Emma Duvéré,Petit déjeuner & brunch,1
130,https://www.yelp.fr/biz/joe-et-the-juice-paris,Joe & The Juice,Petit déjeuner & brunch,1
131,https://www.yelp.fr/biz/caf%C3%A9-boh%C3%A8me-paris-3,Café Bohème,Petit déjeuner & brunch,4
132,https://www.yelp.fr/biz/treize-bakery-paris-paris,Treize Bakery Paris,Petit déjeuner & brunch,17
133,https://www.yelp.fr/biz/papilles-coffeehouse-et-restaurant-paris-2,Papilles Coffeehouse & Restaurant,Petit déjeuner & brunch,4
134,https://www.yelp.fr/biz/echo-paris-2,Echo,Petit déjeuner & brunch,7
135,https://www.yelp.fr/biz/caf%C3%A9-de-la-poste-paris-14,Café de la Poste,Cafés,1
136,https://www.yelp.fr/biz/caf%C3%A9s-richard-paris-2,Cafés Richard,Cafés,16
137,https://www.yelp.fr/biz/osmoz-caf%C3%A9-paris,Osmoz Café,Cafés,2
138,https://www.yelp.fr/biz/you-decide-coffee-paris,You Decide Coffee,Cafés,6
139,https://www.yelp.fr/biz/le-marabout-paris,Le Marabout,Cuisine africaine,1
140,https://www.yelp.fr/biz/les-d%C3%A9lices-du-sacr%C3%A9-coeur-paris,Les Délices du Sacré-Coeur,Cuisine africaine,4
141,https://www.yelp.fr/biz/caf%C3%A9-cacao-aubervilliers-2,Café Cacao,Cuisine africaine,1
142,https://www.yelp.fr/biz/restaurant-hoi-chang-paris,Restaurant Hoi Chang,Chinois,1
143,https://www.yelp.fr/biz/nouilles-vivantes-paris,Nouilles Vivantes,Chinois,4
144,https://www.yelp.fr/biz/pavillon-de-hang-chow-paris,Pavillon de Hang Chow,Chinois,14
145,https://www.yelp.fr/biz/inavou%C3%A9-paris-4,Inavoué,Petit déjeuner & brunch,4
146,https://www.yelp.fr/biz/zia-paris-paris-2,Zia Paris,Petit déjeuner & brunch,74
147,https://www.yelp.fr/biz/tour-eiffel-buffets-paris,Tour Eiffel - Buffets,Buffet,2
148,https://www.yelp.fr/biz/harpers-paris-19,Harper’s,Américain traditionnel ,1
149,https://www.yelp.fr/biz/mama-jackson-paris-3,Mama Jackson,Américain traditionnel ,1
150,https://www.yelp.fr/biz/bagel-chef-nanterre,Bagel Chef,Américain traditionnel ,1
151,https://www.yelp.fr/biz/best-break-chevilly-larue,Best Break,Américain traditionnel ,1
152,https://www.yelp.fr/biz/coney-island-dinner-paris,Coney Island Dinner,Américain traditionnel ,1
